name,label
amex,1
ase,1
asx,1
biffex,1
bse,1
cboe,1
cbt,1
cme,1
comex,1
cse,1
fox,1
fse,1
hkse,1
ipe,1
jse,1
klce,1
klse,1
liffe,1
lme,1
lse,1
mase,1
mise,1
mnse,1
mose,1
nasdaq,1
nyce,1
nycsce,1
nymex,1
nyse,1
ose,1
pse,1
set,1
simex,1
sse,1
stse,1
tose,1
tse,1
wce,1
zse,1
adb-africa,2
adb-asia,2
aibd,2
aid,2
anrpc,2
asean,2
atpc,2
bis,2
cipec,2
comecon,2
ec,2
eca,2
ecafe,2
ece,2
ecla,2
ecsc,2
ecwa,2
efta,2
eib,2
emcf,2
escap,2
euratom,2
fao,2
gatt,2
gcc,2
geplacea,2
iaea,2
iata,2
icco,2
ico-coffee,2
ico-islam,2
ida,2
iea,2
iisi,2
ilo,2
ilzsg,2
imco,2
imf,2
inro,2
stoph,3
strougal,3
subroto,3
suharto,3
sumita,3
suominen,3
takeshita,3
tamura,3
tavares-moreia,3
thatcher,3
timar,3
tinsulanonda,3
tiwari,3
toernaes,3
toman,3
tsovolas,3
vancsa,3
venkataraman,3
vera-la-rosa,3
verity,3
villanyi,3
vlatkovic,3
volcker,3
von-weizsaecker,3
vranitzky,3
waldheim,3
wali,3
walsh,3
wang-bingqian,3
wardhana,3
wasim-aun-jaffrey,3
wilson,3
wise,3
yeutter,3
young,3
yu-kuo-hua,3
zak,3
zhao-ziyang,3
zheng-tuobin,3
afghanistan,4
albania,4
algeria,4
american-samoa,4
andorra,4
angola,4
anguilla,4
antigua,4
argentina,4
aruba,4
australia,4
austria,4
bahamas,4
bahrain,4
bangladesh,4
barbados,4
belgium,4
belize,4
benin,4
bermuda,4
bhutan,4
bolivia,4
botswana,4
brazil,4
british-virgin-islands,4
brunei,4
bulgaria,4
burkina-faso,4
burma,4
burundi,4
cameroon,4
canada,4
cape-verde,4
cayman-islands,4
central-african-republic,4
chad,4
chile,4
china,4
colombia,4